Date,Price
2015-03-10,29.75
2015-03-11,29.19
2015-03-12,29.9
2015-03-13,29.29
2015-03-16,29.27
2015-03-17,29.84
2015-03-18,29.77
2015-03-19,30.2
2015-03-20,29.49
2015-03-23,29.73
2015-03-24,29.35
2015-03-25,28.99
2015-03-26,28.32
2015-03-27,28.27
2015-03-30,28.93
2015-03-31,28.42
2015-04-01,29.04
2015-04-06,28.54
2015-04-07,29.92
2015-04-08,30.16
2015-04-09,31.05
2015-04-10,30.75
2015-04-13,30.97
2015-04-15,30.3
2015-04-16,30.3
2015-04-17,31.04
2015-04-20,30.91
2015-04-21,31.25
2015-04-22,31.52
2015-04-23,33.15
2015-04-24,33.24
2015-04-27,33.1
2015-04-28,33.31
2015-04-29,33.19
2015-04-30,32.33
2015-05-04,32.45
2015-05-05,34.1
2015-05-06,32.99
2015-05-07,32.96
2015-05-08,32.9
2015-05-11,33.83
2015-05-12,31.73
2015-05-13,32.26
2015-05-14,32.87
2015-05-15,32.67
2015-05-18,32.67
2015-05-19,33.05
2015-05-20,32.42
2015-05-21,30.71
2015-05-22,30.62
2015-05-25,29.79
2015-05-26,29.86
2015-05-27,29.44
2015-05-28,29.13
2015-05-29,29.47
2015-06-01,29.58
2015-06-02,28.87
2015-06-03,28.37
2015-06-04,27.64
2015-06-05,27.91
2015-06-08,27.12
2015-06-09,27.34
2015-06-10,27.46
2015-06-11,26.8
2015-06-12,26.7
2015-06-15,26.65
2015-06-16,26.42
2015-06-17,27.37
2015-06-18,27.25
2015-06-19,27.36
2015-06-22,27.87
2015-06-23,28.09
2015-06-24,27.33
2015-06-25,27.16
2015-06-26,26.8
2015-06-29,26.58
2015-06-30,27.33
2015-07-01,27.54
2015-07-02,27.31
2015-07-03,27.02
2015-07-06,26.83
2015-07-07,26.76
2015-07-08,25.41
2015-07-09,25.17
2015-07-10,25.2
2015-07-13,25.52
2015-07-14,25.23
2015-07-15,25.16
2015-07-16,25.19
2015-07-17,25.49
2015-07-20,25.44
2015-07-21,24.65
2015-07-22,25.16
2015-07-23,24.22
2015-07-24,23.78
2015-07-27,22.5
2015-07-28,22.36
2015-07-29,22.48
2015-07-30,22.26
2015-07-31,22.15
2015-08-03,22.25
2015-08-04,23.0
2015-08-05,23.53
2015-08-06,23.42
2015-08-07,23.51
2015-08-10,23.43
2015-08-11,22.14
2015-08-12,22.35
2015-08-13,20.96
2015-08-14,21.32
2015-08-17,22.14
2015-08-18,22.64
2015-08-19,22.41
2015-08-20,21.67
2015-08-21,21.29
2015-08-24,18.49
2015-08-25,19.15
2015-08-26,19.35
2015-08-27,20.31
2015-08-28,20.54
2015-08-31,20.22
2015-09-01,19.41
2015-09-02,19.69
2015-09-03,20.61
2015-09-04,19.64
2015-09-07,19.37
2015-09-08,20.52
2015-09-09,21.49
2015-09-10,21.55
2015-09-11,20.9
2015-09-14,21.7
2015-09-15,20.56
2015-09-16,20.68
2015-09-18,20.47
2015-09-21,20.32
2015-09-22,19.75
2015-09-23,19.83
2015-09-24,19.3
2015-09-28,18.77
2015-09-29,18.07
2015-09-30,19.08
2015-10-01,19.04
2015-10-05,20.19
2015-10-06,20.41
2015-10-07,21.25
2015-10-08,21.61
2015-10-09,22.53
2015-10-12,22.51
2015-10-13,21.98
2015-10-14,22.28
2015-10-15,22.9
2015-10-16,22.69
2015-10-19,22.29
2015-10-20,21.61
2015-10-21,21.93
2015-10-23,22.07
2015-10-26,22.4
2015-10-27,22.07
2015-10-28,22.18
2015-10-29,22.22
2015-10-30,22.13
2015-11-02,21.43
2015-11-03,21.15
2015-11-04,21.12
2015-11-05,20.22
2015-11-06,19.76
2015-11-09,19.94
2015-11-10,19.56
2015-11-11,19.78
2015-11-13,19.98
2015-11-16,20.69
2015-11-17,21.04
2015-11-18,20.26
2015-11-19,20.52
2015-11-20,20.64
2015-11-23,20.14
2015-11-24,20.13
2015-11-26,20.45
2015-11-27,20.75
2015-11-30,20.6
2015-12-01,21.31
2015-12-02,21.88
2015-12-03,21.55
2015-12-04,21.56
2015-12-07,21.85
2015-12-08,21.06
2015-12-09,20.35
2015-12-10,20.91
2015-12-11,21.61
2015-12-14,21.98
2015-12-15,21.92
2015-12-16,21.96
2015-12-17,23.07
2015-12-18,22.94
2015-12-21,23.19
2015-12-22,23.09
2015-12-23,23.73
2015-12-24,23.63
2015-12-28,22.8
2015-12-29,22.91
2015-12-30,23.21
2015-12-31,23.31
2016-01-01,23.09
2016-01-04,23.05
2016-01-05,24.61
2016-01-06,24.11
2016-01-07,22.42
2016-01-08,22.75
2016-01-11,22.58
2016-01-12,22.05
2016-01-13,22.13
2016-01-14,21.42
2016-01-15,20.61
2016-01-18,21.17
2016-01-19,21.35
